"AR_ID","dam","state","lat","lon","species","position","edge_m","matches_now","fragile"
"CA-061","Sunol Dam","CA",37.5944,-121.902,"Western river lamprey","inside",735.1,"yes",""
"CA-149","Dempster Vineyard Dam","CA",38.48614,-122.9183,"White sturgeon","outside",744.39,"no",""
"CA-176","Beale Dam","CA",39.10842,-121.3385,"Chinook salmon","outside",764.41,"no",""
"CA-174","Grenada Irrigation District Dam","CA",41.72702,-122.55754,"Chinook salmon","inside",797.48,"yes",""
"CA-055","Murphy Creek Dam (Sparrow Dam)","CA",38.23402,-121.02645,"Chinook salmon","inside",860.51,"yes",""
"CA-052","A-Frame Dam","CA",40.61128,-122.57642,"Chinook salmon","outside",1204.86,"no",""
"CA-065","Araujo Dam","CA",41.68764,-122.53,"Chinook salmon","inside",1220.9,"yes",""
"CA-079","Hostler Creek Dam ","CA",41.07869,-123.668,"White sturgeon","inside",1241.96,"yes",""
"CA-039","McPherrin Dam","CA",39.44674,-121.874,"Chinook salmon","inside",1419.98,"yes",""
"CA-039","McPherrin Dam","CA",39.44674,-121.874,"Western river lamprey","inside",1419.98,"yes",""
"CA-073","Camp Meeker Dam","CA",38.42465,-122.959,"White sturgeon","inside",1425.93,"yes",""
"CA-060","Niles Dam","CA",37.58591,-121.963,"Western river lamprey","inside",1522.34,"yes",""
"CA-044","McCormick-Saeltzer Dam","CA",40.49316,-122.471,"Green sturgeon","outside",1608.72,"no",""
"CA-044","McCormick-Saeltzer Dam","CA",40.49316,-122.471,"White sturgeon","outside",1608.72,"no",""
"CA-133","Lagunita Diversion Dam","CA",37.41522,-122.18726,"Green sturgeon","outside",1661.46,"no",""
"CA-154","Iron Horse Dam","CA",38.46322,-122.89675,"White sturgeon","outside",1740.43,"no",""
"CA-057","Haypress Pond Dam","CA",37.86288,-122.547,"Western river lamprey","inside",1785.71,"yes",""
"CA-057","Haypress Pond Dam","CA",37.86288,-122.547,"White sturgeon","inside",1785.71,"yes",""
"CA-044","McCormick-Saeltzer Dam","CA",40.49316,-122.471,"Chinook salmon","inside",2092.57,"yes",""
"CA-182","Copco 2 Dam","CA",41.97902,-122.34025,"Chinook salmon","outside",2187.26,"no",""
"CA-182","Copco 2 Dam","CA",41.97902,-122.34025,"Klamath largescale sucker","inside",2187.26,"yes",""
"CA-182","Copco 2 Dam","CA",41.97902,-122.34025,"Lost River sucker","inside",2187.26,"yes",""
"CA-182","Copco 2 Dam","CA",41.97902,-122.34025,"Shortnose sucker","inside",2187.26,"yes",""
"CA-033","Upper Dam (Lost Man Dam)","CA",41.32907,-124.02192,"Eulachon","outside",2335.86,"no",""
"CA-185","Copco No. 1 Dam","CA",41.9796,-122.3352,"Chinook salmon","outside",2412.6,"no",""
"CA-185","Copco No. 1 Dam","CA",41.9796,-122.3352,"Klamath largescale sucker","inside",2412.6,"yes",""
"CA-185","Copco No. 1 Dam","CA",41.9796,-122.3352,"Lost River sucker","inside",2412.6,"yes",""
"CA-185","Copco No. 1 Dam","CA",41.9796,-122.3352,"Shortnose sucker","inside",2412.6,"yes",""
"CA-070","Wildcat Dam","CA",40.42024,-121.961,"Chinook salmon","outside",2496.84,"no",""
"CA-076","Fife Creek Check Dam ","CA",38.53338,-123.004,"White sturgeon","inside",2557.88,"yes",""
"CA-009","Russell Dam (Hinkley Dam)","CA",40.63183,-123.4162,"White sturgeon","outside",2565.5,"no",""
"CA-189","Jenny Creek Diversion Dam","CA",41.983,-122.382,"Klamath largescale sucker","inside",2941.22,"yes",""
"CA-189","Jenny Creek Diversion Dam","CA",41.983,-122.382,"Lost River sucker","inside",2941.22,"yes",""
"CA-189","Jenny Creek Diversion Dam","CA",41.983,-122.382,"Shortnose sucker","inside",2941.22,"yes",""
"CA-103","McGowan Dam","CA",39.56272,-121.82847,"Chinook salmon","inside",3084.85,"yes",""
"CA-073","Camp Meeker Dam","CA",38.42465,-122.959,"Western river lamprey","outside",3094.55,"no",""
"CA-057","Haypress Pond Dam","CA",37.86288,-122.547,"Chinook salmon","outside",3306.7,"no",""
"CA-189","Jenny Creek Diversion Dam","CA",41.983,-122.382,"Chinook salmon","outside",3455.61,"no",""
"CA-033","Upper Dam (Lost Man Dam)","CA",41.32907,-124.02192,"Green sturgeon","outside",3569.92,"no",""
"CA-187","Neefus Gulch Earthen Berm Dam","CA",39.17877,-123.57113,"Western river lamprey","outside",3802.07,"no",""
"CA-177","Roy's Pools Dam","CA",38.01268,-122.66268,"Green sturgeon","outside",4345.88,"no",""
"CA-177","Roy's Pools Dam","CA",38.01268,-122.66268,"Western river lamprey","outside",4345.88,"no",""
"CA-177","Roy's Pools Dam","CA",38.01268,-122.66268,"White sturgeon","outside",4345.88,"no",""
"CA-052","A-Frame Dam","CA",40.61128,-122.57642,"Green sturgeon","outside",4555.63,"no",""
"CA-033","Upper Dam (Lost Man Dam)","CA",41.32907,-124.02192,"Chinook salmon","outside",4616.72,"no",""
"CA-033","Upper Dam (Lost Man Dam)","CA",41.32907,-124.02192,"White sturgeon","outside",4616.72,"no",""
"CA-033","Upper Dam (Lost Man Dam)","CA",41.32907,-124.02192,"Coastal cutthroat trout","inside",5046,"yes",""
"CA-033","Upper Dam (Lost Man Dam)","CA",41.32907,-124.02192,"Western river lamprey","inside",5046,"yes",""
"CA-038","Lake Christopher Dam","CA",38.91016,-119.96485,"Mountain whitefish","inside",5407.66,"yes",""
"CA-184","East Weaver Creek Dam","CA",40.77699,-122.92981,"Chinook salmon","inside",6039.38,"yes",""
"CA-075","Glenbrook Gulch Dam","CA",39.26526,-123.669,"Western river lamprey","inside",6177.2,"yes",""
"CA-068","East Mill Creek Dam","CA",40.32146,-124.273,"Western river lamprey","inside",6348.7,"yes",""
"CA-064","Unnamed Dam","CA",39.13379,-120.15945,"Mountain whitefish","inside",6780.53,"yes",""
"CA-005","Trout Haven Dam","CA",41.89046,-123.815,"Chinook salmon","inside",9750.53,"yes",""
"CA-079","Hostler Creek Dam ","CA",41.07869,-123.668,"Chinook salmon","inside",10931.37,"yes",""
"CA-079","Hostler Creek Dam ","CA",41.07869,-123.668,"Green sturgeon","inside",10931.37,"yes",""
"CA-005","Trout Haven Dam","CA",41.89046,-123.815,"Coastal cutthroat trout","inside",11437.49,"yes",""
"CA-009","Russell Dam (Hinkley Dam)","CA",40.63183,-123.4162,"Chinook salmon","inside",11678.53,"yes",""
"CA-002","Minnie Reeves Dam","CA",40.63811,-122.908,"Chinook salmon","inside",12593.09,"yes",""
"CA-095","Whites Gulch Upper Dam","CA",41.28182,-123.0757,"Chinook salmon","inside",14712.46,"yes",""
"CA-069","White Gulch Dam #1 (Whites Gulch Lower Dam)","CA",41.2909,-123.083,"Chinook salmon","inside",15881.14,"yes",""
"CA-029","Sweasey Dam","CA",40.81962,-123.956,"Coastal cutthroat trout","inside",17089.86,"yes",""
